crypto_id,tag_id
1,75
1,53
1,20
2,97
2,49
2,50
3,108
3,123
3,67
4,66
4,48
4,108
5,52
5,99
5,47
6,52
6,123
6,67
7,26
7,97
7,77
8,75
8,53
8,114
9,97
9,77
9,8
10,58
10,108
10,104
11,13
11,10
11,45
12,74
12,123
12,67
13,97
13,77
13,99
14,97
14,57
14,91
15,75
15,53
15,114
16,22
16,50
16,40
17,52
17,74
17,69
18,75
18,53
18,20
19,66
19,48
19,19
20,74
20,49
20,15
21,52
21,99
21,14
22,77
22,74
22,121
23,123
23,67
23,45
24,100
24,123
24,67
25,14
25,74
25,23
26,75
26,53
26,52
27,66
27,48
27,19
28,77
28,106
28,70
29,75
29,53
29,44
30,88
30,66
30,99
31,77
31,103
31,60
32,75
32,103
32,78
33,50
33,37
33,57
34,74
34,23
34,15
35,52
35,106
35,48
36,36
36,25
36,61
37,77
37,84
38,68
38,23
38,11
39,51
39,41
39,12
40,77
40,112
40,82
41,37
41,86
42,100
42,74
42,23
43,74
43,23
43,85
44,62
44,99
44,74
45,97
45,77
45,38
46,99
46,49
46,101
47,123
47,110
47,83
48,60
48,55
48,42
49,60
49,70
49,55
50,97
50,77
50,99
51,75
51,77
51,60
52,42
52,36
52,116
53,52
53,99
53,49
54,58
54,60
54,70
55,60
55,111
55,55
56,97
56,77
56,106
57,77
57,99
57,74
58,75
58,53
58,20
59,77
59,60
59,55
60,64
60,14
60,74
61,120
61,58
61,34
62,60
62,70
62,55
63,100
63,123
63,67
64,77
64,99
64,49
65,106
65,14
65,74
66,106
66,74
66,42
67,39
67,126
68,126
69,56
70,77
70,60
70,112
71,74
71,27
72,63
72,60
72,70
73,60
73,55
73,33
74,77
74,99
74,35
75,66
75,48
75,19
76,74
76,43
76,65
77,88
77,52
77,12
78,75
78,53
78,118
79,99
79,47
79,76
80,93
80,82
80,36
81,66
81,48
81,19
82,77
82,103
82,78
83,14
83,74
83,23
84,75
84,53
84,77
85,97
85,111
85,112
86,66
86,48
86,19
87,106
87,100
87,74
88,80
88,98
88,39
89,22
90,74
90,16
90,111
91,74
91,23
91,85
92,64
92,108
92,95
93,16
93,21
93,65
94,22
94,40
95,120
95,60
95,104
96,48
96,15
96,17
97,100
97,123
97,67
98,57
99,10
99,18
99,5
100,75
100,94
100,46
101,106
101,62
101,103
102,60
102,14
102,74
103,66
103,48
103,19
104,103
104,78
104,92
105,75
105,77
105,108
106,106
106,62
106,60
107,64
107,14
107,74
108,32
108,70
108,74
109,80
109,42
109,35
110,14
110,74
110,80
111,82
111,87
111,56
113,66
113,14
113,74
114,58
114,60
114,55
115,75
115,99
115,103
116,77
116,49
116,4
117,23
117,24
117,1
118,28
118,52
118,108
119,75
119,52
119,108
120,66
120,62
120,108
121,74
121,59
122,29
122,60
122,70
123,97
123,111
123,115
124,58
124,70
124,74
125,75
125,94
125,119
126,77
126,106
126,99
127,75
127,53
127,77
128,106
128,35
129,77
129,62
129,74
130,74
130,23
130,85
131,31
131,30
131,6
132,77
132,103
132,78
133,74
133,104
134,60
134,55
134,33
135,14
135,74
135,23
136,66
136,99
136,47
137,106
137,62
137,60
138,60
139,125
139,77
139,49
140,77
140,103
140,108
141,77
141,99
141,23
142,81
142,23
142,82
143,12
143,50
143,57
144,55
144,22
144,124
145,90
146,77
146,99
146,84
147,13
147,18
147,2
148,75
148,53
148,102
149,7
149,111
149,3
150,52
150,74
150,108
151,89
152,60
152,55
152,23
153,26
153,58
153,70
154,77
154,14
154,74
155,53
156,99
156,3
156,124
158,49
158,13
158,10
159,117
159,12
159,96
160,106
160,74
160,121
161,77
161,84
161,82
162,77
162,99
162,68
163,58
163,60
163,55
164,60
164,14
164,74
165,84
165,50
165,82
166,77
166,12
166,76
167,55
167,124
167,83
168,55
168,93
168,24
169,106
169,123
169,110
170,75
170,53
170,71
171,50
171,107
172,66
172,55
173,75
173,53
173,77
174,75
174,53
174,54
175,50
175,65
175,98
176,74
176,24
176,72
177,7
177,108
177,47
178,16
178,82
178,73
180,77
180,68
180,49
181,75
181,53
181,103
182,74
182,16
182,121
183,75
183,53
183,52
184,93
184,79
184,122
185,100
185,74
185,82
186,77
186,113
186,35
187,105
188,74
188,108
189,26
189,77
189,99
190,88
190,102
190,52
191,77
191,103
191,78
192,57
193,66
193,14
193,74
194,97
194,77
194,106
195,77
195,99
195,111
196,55
196,50
196,124
198,60
198,55
198,9
199,58
199,70
199,7
200,109
200,89
