date_id,date
1,2023-09-04
2,2023-09-03
3,2023-09-02
4,2023-09-01
5,2023-08-31
6,2023-08-30
7,2023-08-29
8,2023-08-28
9,2023-08-27
10,2023-08-26
11,2023-08-25
12,2023-08-24
13,2023-08-23
14,2023-08-22
15,2023-08-21
16,2023-08-20
17,2023-08-19
18,2023-08-18
19,2023-08-17
20,2023-08-16
21,2023-08-15
22,2023-08-14
23,2023-08-13
24,2023-08-12
25,2023-08-11
26,2023-08-10
27,2023-08-09
28,2023-08-08
29,2023-08-07
30,2023-08-06
31,2023-08-05
32,2023-08-04
33,2023-08-03
34,2023-08-02
35,2023-08-01
36,2023-07-31
37,2023-07-30
38,2023-07-29
39,2023-07-28
40,2023-07-27
41,2023-07-26
42,2023-07-25
43,2023-07-24
44,2023-07-23
45,2023-07-22
46,2023-07-21
47,2023-07-20
48,2023-07-19
49,2023-07-18
50,2023-07-17
51,2023-07-16
52,2023-07-15
53,2023-07-14
54,2023-07-13
55,2023-07-12
56,2023-07-11
57,2023-07-10
58,2023-07-09
59,2023-07-08
60,2023-07-07
61,2023-07-06
62,2023-07-05
63,2023-07-04
64,2023-07-03
65,2023-07-02
66,2023-07-01
67,2023-06-30
68,2023-06-29
69,2023-06-28
70,2023-06-27
71,2023-06-26
72,2023-06-25
73,2023-06-24
74,2023-06-23
75,2023-06-22
76,2023-06-21
77,2023-06-20
78,2023-06-19
79,2023-06-18
80,2023-06-17
81,2023-06-16
82,2023-06-15
83,2023-06-14
84,2023-06-13
85,2023-06-12
86,2023-06-11
87,2023-06-10
88,2023-06-09
89,2023-06-08
90,2023-06-07
91,2023-06-06
92,2023-06-05
93,2023-06-04
94,2023-06-03
95,2023-06-02
96,2023-06-01
97,2023-05-31
98,2023-05-30
99,2023-05-29
100,2023-05-28
101,2023-05-27
102,2023-05-26
103,2023-05-25
104,2023-05-24
105,2023-05-23
106,2023-05-22
107,2023-05-21
108,2023-05-20
109,2023-05-19
110,2023-05-18
111,2023-05-17
112,2023-05-16
113,2023-05-15
114,2023-05-14
115,2023-05-13
116,2023-05-12
117,2023-05-11
118,2023-05-10
119,2023-05-09
120,2023-05-08
121,2023-05-07
122,2023-05-06
123,2023-05-05
124,2023-05-04
125,2023-05-03
126,2023-05-02
127,2023-05-01
128,2023-04-30
129,2023-04-29
130,2023-04-28
131,2023-04-27
132,2023-04-26
133,2023-04-25
134,2023-04-24
135,2023-04-23
136,2023-04-22
137,2023-04-21
138,2023-04-20
139,2023-04-19
140,2023-04-18
141,2023-04-17
142,2023-04-16
143,2023-04-15
144,2023-04-14
145,2023-04-13
146,2023-04-12
147,2023-04-11
148,2023-04-10
149,2023-04-09
150,2023-04-08
151,2023-04-07
152,2023-04-06
153,2023-04-05
154,2023-04-04
155,2023-04-03
156,2023-04-02
157,2023-04-01
158,2023-03-31
159,2023-03-30
160,2023-03-29
161,2023-03-28
162,2023-03-27
163,2023-03-26
164,2023-03-25
165,2023-03-24
166,2023-03-23
167,2023-03-22
168,2023-03-21
169,2023-03-20
170,2023-03-19
171,2023-03-18
172,2023-03-17
173,2023-03-16
174,2023-03-15
175,2023-03-14
176,2023-03-13
177,2023-03-12
178,2023-03-11
179,2023-03-10
180,2023-03-09
181,2023-03-08
182,2023-03-07
183,2023-03-06
184,2023-03-05
185,2023-03-04
186,2023-03-03
187,2023-03-02
188,2023-03-01
189,2023-02-28
190,2023-02-27
191,2023-02-26
192,2023-02-25
193,2023-02-24
194,2023-02-23
195,2023-02-22
196,2023-02-21
197,2023-02-20
198,2023-02-19
199,2023-02-18
200,2023-02-17
201,2023-02-16
202,2023-02-15
203,2023-02-14
204,2023-02-13
205,2023-02-12
206,2023-02-11
207,2023-02-10
208,2023-02-09
209,2023-02-08
210,2023-02-07
211,2023-02-06
212,2023-02-05
213,2023-02-04
214,2023-02-03
215,2023-02-02
216,2023-02-01
217,2023-01-31
218,2023-01-30
219,2023-01-29
220,2023-01-28
221,2023-01-27
222,2023-01-26
223,2023-01-25
224,2023-01-24
225,2023-01-23
226,2023-01-22
227,2023-01-21
228,2023-01-20
229,2023-01-19
230,2023-01-18
231,2023-01-17
232,2023-01-16
233,2023-01-15
234,2023-01-14
235,2023-01-13
236,2023-01-12
237,2023-01-11
238,2023-01-10
239,2023-01-09
240,2023-01-08
241,2023-01-07
242,2023-01-06
243,2023-01-05
244,2023-01-04
245,2023-01-03
246,2023-01-02
247,2023-01-01
248,2022-12-31
249,2022-12-30
250,2022-12-29
251,2022-12-28
252,2022-12-27
253,2022-12-26
254,2022-12-25
255,2022-12-24
256,2022-12-23
257,2022-12-22
258,2022-12-21
259,2022-12-20
260,2022-12-19
261,2022-12-18
262,2022-12-17
263,2022-12-16
264,2022-12-15
265,2022-12-14
266,2022-12-13
267,2022-12-12
268,2022-12-11
269,2022-12-10
270,2022-12-09
271,2022-12-08
272,2022-12-07
273,2022-12-06
274,2022-12-05
275,2022-12-04
276,2022-12-03
277,2022-12-02
278,2022-12-01
279,2022-11-30
280,2022-11-29
281,2022-11-28
282,2022-11-27
283,2022-11-26
284,2022-11-25
285,2022-11-24
286,2022-11-23
287,2022-11-22
288,2022-11-21
289,2022-11-20
290,2022-11-19
291,2022-11-18
292,2022-11-17
293,2022-11-16
294,2022-11-15
295,2022-11-14
296,2022-11-13
297,2022-11-12
298,2022-11-11
299,2022-11-10
300,2022-11-09
301,2022-11-08
302,2022-11-07
303,2022-11-06
304,2022-11-05
305,2022-11-04
306,2022-11-03
307,2022-11-02
308,2022-11-01
309,2022-10-31
310,2022-10-30
311,2022-10-29
312,2022-10-28
313,2022-10-27
314,2022-10-26
315,2022-10-25
316,2022-10-24
317,2022-10-23
318,2022-10-22
319,2022-10-21
320,2022-10-20
321,2022-10-19
322,2022-10-18
323,2022-10-17
324,2022-10-16
325,2022-10-15
326,2022-10-14
327,2022-10-13
328,2022-10-12
329,2022-10-11
330,2022-10-10
331,2022-10-09
332,2022-10-08
333,2022-10-07
334,2022-10-06
335,2022-10-05
336,2022-10-04
337,2022-10-03
338,2022-10-02
339,2022-10-01
340,2022-09-30
341,2022-09-29
342,2022-09-28
343,2022-09-27
344,2022-09-26
345,2022-09-25
346,2022-09-24
347,2022-09-23
348,2022-09-22
349,2022-09-21
350,2022-09-20
351,2022-09-19
352,2022-09-18
353,2022-09-17
354,2022-09-16
355,2022-09-15
356,2022-09-14
357,2022-09-13
358,2022-09-12
359,2022-09-11
360,2022-09-10
361,2022-09-09
362,2022-09-08
363,2022-09-07
364,2022-09-06
